timestamp,value,value_classification,time_until_update,Open,Close,Low,High,Volume,change,RSI,SMA200,SMA50,SMA5,position,fear,greed,overbrough,oversell,10d_low,buy_ranking,sell_ranking
2022-07-24,30,Fear,,22465.509765625,22609.1640625,22306.83984375,22974.001953125,23565495303,0.006395837363315726,55.52709806827384,,22384.998671875,22837.196484375,0,0,0,0,0,20779.34375,0,0
2022-07-25,30,Fear,,22607.15625,21361.701171875,21361.642578125,22649.12109375,35574561406,-0.05517510011323534,46.61535941315786,,22214.099453125,22463.190234375,0,0,0,0,0,20779.34375,0,0
2022-07-26,26,Fear,,21361.12109375,21239.75390625,20776.81640625,21361.12109375,28624673855,-0.005708686992848544,45.840828005603775,,22011.48109375,22078.215234375,0,1,0,0,0,20779.34375,1,0
2022-07-27,28,Fear,,21244.169921875,22930.548828125,21070.806640625,22986.529296875,31758955233,0.0796052030234431,56.60644209330579,,21846.9825,22121.329296875,0,1,0,0,0,21239.75390625,1,0
2022-07-28,32,Fear,,22933.640625,23843.88671875,22722.265625,24110.470703125,40212386158,0.0398306162434614,61.104187449588586,,21719.573125,22397.0109375,0,0,0,0,0,21239.75390625,0,0
2022-07-29,39,Fear,,23845.212890625,23804.6328125,23481.173828125,24294.787109375,35887249746,-0.0016462880701044735,60.81244598102692,,21593.4258203125,22636.1046875,0,0,0,0,0,21239.75390625,0,0
2022-07-30,42,Fear,,23796.818359375,23656.20703125,23580.5078125,24572.580078125,28148218301,-0.006235163651508224,59.65268541790346,,21484.8738671875,23095.005859375,0,0,0,0,0,21239.75390625,0,0
2022-07-31,39,Fear,,23652.0703125,23336.896484375,23275.703125,24121.642578125,23553591896,-0.013497960448739299,57.128522064609044,,21384.3955859375,23514.434375,0,0,0,0,0,21239.75390625,0,0
2022-08-01,33,Fear,,23336.71875,23314.19921875,22890.796875,23464.787109375,25849159141,-0.0009725914343493569,56.94407109998768,,21315.4266015625,23591.164453125,0,0,0,0,0,21239.75390625,0,0
2022-08-02,31,Fear,,23308.43359375,22978.1171875,22710.083984375,23415.041015625,28389250717,-0.014415336683737068,54.15583445635115,,21325.241171875,23418.010546875,0,0,0,0,0,21239.75390625,0,0
2022-08-03,34,Fear,,22981.302734375,22846.5078125,22747.8359375,23578.650390625,26288169966,-0.0057275961266136655,53.06017395954111,,21338.03546875,23226.385546875,0,0,0,0,0,21239.75390625,0,0
2022-08-04,30,Fear,,22848.21484375,22630.95703125,22485.701171875,23198.009765625,25120229769,-0.009434736504108754,51.23199186548265,,21339.1978125,23021.335546875,0,0,0,0,0,21239.75390625,0,0
2022-08-05,31,Fear,,22626.833984375,23289.314453125,22612.177734375,23422.828125,28881249043,0.029091011085651708,56.19629656122305,,21397.35109375,23011.819140625,0,0,0,0,0,22630.95703125,0,0
2022-08-06,31,Fear,,23291.423828125,22961.279296875,22961.279296875,23326.5625,15978259885,-0.014085221654344782,53.28572914813998,,21447.14703125,22941.23515625,0,0,0,0,0,22630.95703125,0,0
2022-08-07,30,Fear,,22963.505859375,23175.890625,22894.556640625,23359.009765625,15886817043,0.009346662498644243,54.93036934628189,,21530.3119921875,22980.78984375,0,0,0,0,0,22630.95703125,0,0
2022-08-08,30,Fear,,23179.52734375,23809.486328125,23176.546875,24203.689453125,28575544847,0.02733856978257987,59.46738440758841,,21595.4362890625,23173.385546875,0,0,0,0,0,22630.95703125,0,0
2022-08-09,42,Fear,,23811.484375,23164.318359375,22982.0,23898.615234375,23555719219,-0.02709709734425869,53.55538201757486,,21646.7319140625,23280.0578125,0,0,0,0,0,22630.95703125,0,0
2022-08-10,31,Fear,,23162.8984375,23947.642578125,22771.51953125,24127.4140625,32837431722,0.033815983988709775,58.89819637133079,,21711.4728125,23411.7234375,0,0,0,0,0,22630.95703125,0,0
2022-08-11,41,Fear,,23948.345703125,23957.529296875,23900.99609375,24822.62890625,37127036580,0.00041284726535173455,58.96236346049919,,21790.8828125,23610.9734375,0,0,0,0,0,22630.95703125,0,0
2022-08-12,42,Fear,,23957.203125,24402.818359375,23657.265625,24412.56640625,27265804688,0.018586602023192844,61.851100464213204,,21857.221640625,23856.358984375,0,0,0,0,0,22630.95703125,0,0
2022-08-13,46,Fear,,24402.1875,24424.068359375,24346.115234375,24860.05078125,22987346289,0.0008708010561344626,61.988612583558634,,21921.0698828125,23979.275390625,0,0,0,0,0,22630.95703125,0,0
2022-08-14,47,Neutral,,24429.056640625,24319.333984375,24206.259765625,24974.9140625,22994133555,-0.004288162539464846,60.82487468426956,,21977.4098046875,24210.278515625,0,0,0,0,0,22961.279296875,0,0
2022-08-15,45,Fear,,24318.31640625,24136.97265625,23839.775390625,25135.58984375,35123501685,-0.007498615226969818,58.756508507971006,,22039.603359375,24248.14453125,0,0,0,0,0,22961.279296875,0,0
2022-08-16,44,Fear,,24126.13671875,23883.291015625,23733.5,24228.416015625,27753685646,-0.010510085263709001,55.90835187871201,,22102.559609375,24233.296875,0,0,0,0,0,23164.318359375,0,0
2022-08-17,41,Fear,,23881.31640625,23335.998046875,23243.353515625,24407.05859375,30931623076,-0.02291530796119967,50.24918589056452,,22163.666875,24019.9328125,0,0,0,0,0,23164.318359375,0,0
2022-08-18,30,Fear,,23341.0390625,23212.73828125,23177.6015625,23563.83203125,23747613147,-0.005281958173694035,49.04509985991721,,22225.841171875,23777.666796875,0,0,0,0,0,23164.318359375,0,0
2022-08-19,33,Fear,,23213.3125,20877.552734375,20868.84765625,23213.3125,40509610260,-0.10059931398792521,32.940662483347815,,22247.6976953125,23089.310546875,0,0,0,0,0,20877.552734375,0,0
2022-08-20,29,Fear,,20872.841796875,21166.060546875,20856.73046875,21350.806640625,27595671000,0.013819043648011897,35.74776974771319,,22285.6315625,22495.128125,0,1,0,0,0,20877.552734375,1,0
2022-08-21,27,Fear,,21160.392578125,21534.12109375,21103.197265625,21668.845703125,23102307723,0.01738918520335342,39.24198533182779,,22331.4688671875,22025.294140625,0,1,0,0,0,20877.552734375,1,0
2022-08-22,29,Fear,,21531.462890625,21398.908203125,20939.18359375,21531.462890625,31666498758,-0.006279006699941081,38.41546955313105,,22373.5055078125,21637.876171875,0,1,0,0,0,20877.552734375,1,0
2022-08-23,28,Fear,,21401.044921875,21528.087890625,20955.138671875,21646.203125,31878280659,0.006036741981122917,39.72170643702468,,22399.44203125,21300.94609375,0,1,0,0,0,20877.552734375,1,0
2022-08-24,25,Extreme Fear,,21526.455078125,21395.01953125,21195.005859375,21783.076171875,31962253368,-0.006181150878381003,38.80855452759232,,22423.5401171875,21404.439453125,0,1,0,0,0,20877.552734375,1,0
2022-08-25,25,Extreme Fear,,21395.458984375,21600.904296875,21362.44140625,21789.63671875,31028679593,0.009623023027591993,41.065989373225996,,22444.59328125,21491.408203125,0,1,0,0,0,20877.552734375,1,0
2022-08-26,27,Fear,,21596.0859375,20260.01953125,20199.482421875,21804.908203125,42326789564,-0.06207539958496022,32.62448106501691,,22417.0419140625,21236.587890625,0,1,0,0,0,20260.01953125,1,0
2022-08-27,28,Fear,,20262.48046875,20041.73828125,19890.5234375,20340.775390625,30116729776,-0.010773990107132536,31.48969025643458,,22383.2543359375,20965.15390625,0,1,0,0,0,20041.73828125,1,0
