,Time,Open,High,Low,Close,Volume,Close time,Quota,Trade,buy_base,buy_quote,Ignore,TT,SMA200,SMA50,SMA5,10d_low,Buy,Sell,Buyprice,Sellprice,RSI,overbrough,oversell
247,1631232000000,46395.14000000,47033.00000000,44132.29000000,44850.91000000,49048.26618000,1631318399999,2243698626.03951660,1569941,24358.59799000,1114490733.87924340,0,2021-09-10,45893.326749999986,44920.957200000026,47364.39799999997,44850.91,0,0,43953.891800000005,44842.20000000,43.0477228812122,0,0
248,1631318400000,44842.20000000,45987.93000000,44722.22000000,45173.69000000,30440.40810000,1631404799999,1380370764.01271670,1060890,14804.34260000,671123069.56236850,0,2021-09-11,45874.740199999986,45151.74920000003,45866.35599999998,44850.91,0,0,44270.2162,45173.68000000,44.119751736047604,0,0
249,1631404800000,45173.68000000,46460.00000000,44742.06000000,46025.24000000,32094.28052000,1631491199999,1464780920.21998130,1179808,15735.45104000,718436012.75886560,0,2021-09-12,45856.48539999999,45387.09120000003,45698.65799999998,44850.91,0,1,45104.735199999996,46025.23000000,46.95646885120547,0,0
250,1631491200000,46025.23000000,46880.00000000,43370.00000000,44940.73000000,65429.15056000,1631577599999,2930668118.26163420,1703512,32041.05972000,1435586958.77986810,0,2021-09-13,45845.82039999999,45578.28540000003,45477.14199999998,44850.91,0,0,44041.915400000005,44940.72000000,43.89993197154578,0,0
251,1631577600000,44940.72000000,47250.00000000,44594.44000000,47111.52000000,44855.85099000,1631663999999,2072259519.06191970,1210258,22182.46649000,1025156547.71891840,0,2021-09-14,45849.99364999999,45775.76380000003,45620.41799999998,44850.91,0,1,46169.2896,47103.28000000,50.80299459189352,0,0
252,1631664000000,47103.28000000,48500.00000000,46682.32000000,48121.41000000,43204.71174000,1631750399999,2056996398.84396170,1176050,20903.53535000,995198313.74741110,0,2021-09-15,45860.068549999996,45949.03460000003,46274.517999999975,44850.91,0,1,47158.9818,48121.40000000,53.65977901130846,0,0
253,1631750400000,48121.40000000,48557.00000000,47021.10000000,47737.82000000,40725.08895000,1631836799999,1948447232.91071780,1176129,19907.79151000,952502982.81190170,0,2021-09-16,45873.07934999999,46103.39980000002,46787.34399999997,44850.91,0,1,46783.0636,47737.81000000,52.414775941468626,0,0
254,1631836800000,47737.81000000,48150.00000000,46699.56000000,47299.98000000,34461.92776000,1631923199999,1637122049.41283770,1033968,16599.46162000,788563444.41334770,0,2021-09-17,45861.644100000005,46249.06980000003,47042.29199999997,44850.91,0,1,46353.9804,47299.98000000,50.9613421874753,0,0
255,1631923200000,47299.98000000,48843.20000000,47035.56000000,48292.74000000,30906.47038000,1632009599999,1491461627.95142250,976346,15219.90487000,734476256.09950720,0,2021-09-18,45860.90455,46370.79720000002,47712.69399999997,44850.91,0,1,47326.8852,48292.75000000,54.071197267321956,0,0
256,1632009600000,48292.75000000,48372.83000000,46829.18000000,47241.75000000,29847.24349000,1632095999999,1421642879.49320620,909785,14346.79979000,683249734.07218280,0,2021-09-19,45845.36645,46486.395600000025,47738.739999999976,44850.91,0,0,46296.915,47241.75000000,50.425420277320065,0,0
